n,cos,sin
0,1,0
1,0.995004,0.0998334
2,0.980067,0.198668
3,0.955337,0.295517
4,0.921063,0.389413
5,0.877586,0.479416
6,0.825343,0.564629
7,0.764854,0.6442
8,0.696725,0.717335
9,0.621636,0.783302
10,0.540337,0.841443
11,0.453642,0.891178
12,0.362416,0.932009
13,0.267571,0.96353
14,0.170055,0.985425
15,0.0708405,0.997477
16,-0.02908,0.999565
17,-0.128709,0.991669
18,-0.227051,0.973867
19,-0.323123,0.946339
20,-0.415967,0.909359
21,-0.504655,0.863297
22,-0.588302,0.808613
23,-0.666072,0.745854
24,-0.737188,0.675647
25,-0.800941,0.598693
26,-0.856695,0.515761
27,-0.903891,0.42768
28,-0.942061,0.335329
29,-0.970822,0.239631
30,-0.989889,0.141542
31,-0.99907,0.0420402
32,-0.998274,-0.0578795
33,-0.98751,-0.15722
34,-0.966886,-0.254988
35,-0.936608,-0.350209
36,-0.896979,-0.441931
37,-0.848394,-0.52924
38,-0.791339,-0.611263
39,-0.726385,-0.687181
40,-0.654179,-0.756237
41,-0.575443,-0.817742
42,-0.490964,-0.871081
43,-0.401585,-0.915724
44,-0.308198,-0.951223
45,-0.211736,-0.977226
46,-0.113162,-0.993473
47,-0.0134608,-0.999802
48,0.0863732,-0.99615
49,0.185343,-0.982555
50,0.282461,-0.959152
51,0.376757,-0.926175
52,0.467291,-0.883954
53,0.553159,-0.832911
54,0.633504,-0.773555
55,0.707524,-0.70648
56,0.774481,-0.632355
57,0.833706,-0.55192
58,0.88461,-0.465979
59,0.926684,-0.375388
60,0.959508,-0.281053
61,0.982757,-0.183916
62,0.996197,-0.0849448
63,0.999695,0.0148716
64,0.993217,0.114537
65,0.976827,0.213058
66,0.950691,0.30945
67,0.915068,0.402752
68,0.870316,0.492034
69,0.81688,0.576403
70,0.755294,0.655019
71,0.686174,0.727097
72,0.610209,0.791919
73,0.528157,0.848838
74,0.440838,0.897287
75,0.349122,0.936782
76,0.253926,0.96693
77,0.156199,0.987431
78,0.0569161,0.998079
79,-0.0429322,0.998771
80,-0.14235,0.989498
81,-0.240345,0.970355
82,-0.335939,0.941532
83,-0.42818,0.903318
84,-0.516148,0.856094
85,-0.598964,0.800332
86,-0.675804,0.736588
87,-0.7459,0.665498
88,-0.808555,0.587772
89,-0.863144,0.504186
90,-0.909121,0.415573
91,-0.94603,0.322818
92,-0.973503,0.226846
93,-0.991265,0.128614
94,-0.999141,0.0291018
95,-0.997052,-0.0706975
96,-0.98502,-0.169789
97,-0.963164,-0.267184
98,-0.931704,-0.361912
99,-0.890954,-0.453028
100,-0.841321,-0.539624
101,-0.783299,-0.620836
102,-0.717468,-0.695855
103,-0.644485,-0.763933
104,-0.565078,-0.824391
105,-0.480038,-0.876628
106,-0.390215,-0.920122
107,-0.296504,-0.95444
108,-0.19984,-0.979241
109,-0.101186,-0.994278
110,-0.00152639,-0.999402
111,0.0981453,-0.994561
112,0.196835,-0.979805
113,0.29356,-0.955282
114,0.387354,-0.921235
115,0.477285,-0.878006
116,0.562454,-0.826025
117,0.642013,-0.765812
118,0.71517,-0.697967
119,0.781195,-0.623166
120,0.839432,-0.542156
121,0.889298,-0.455745
122,0.930299,-0.364794
123,0.962026,-0.27021
124,0.984162,-0.172936
125,0.996489,-0.0739412
126,0.998883,0.0257869
127,0.991322,0.125254
128,0.973881,0.22347
129,0.946734,0.319455
130,0.910153,0.412253
131,0.864503,0.500939
132,0.810239,0.58463
133,0.747903,0.662491
134,0.678115,0.733748
135,0.601573,0.79769
136,0.519039,0.853681
137,0.431336,0.901163
138,0.339338,0.939664
139,0.243962,0.9688
140,0.146159,0.988282
141,0.0469034,0.997916
142,-0.0528159,0.997607
143,-0.152005,0.987357
144,-0.249676,0.967271
145,-0.344856,0.937549
146,-0.436596,0.898487
147,-0.523983,0.850475
148,-0.606146,0.793992
149,-0.682268,0.729601
150,-0.751589,0.657944
151,-0.813421,0.579736
152,-0.867147,0.495756
153,-0.912233,0.40684
154,-0.948229,0.313875
155,-0.974779,0.217788
156,-0.991618,0.119535
157,-0.998579,0.0200958
158,-0.995594,-0.0795398
159,-0.982692,-0.178379
160,-0.960002,-0.275437
161,-0.927752,-0.369749
162,-0.886264,-0.460373
163,-0.83595,-0.546409
164,-0.777313,-0.626999
165,-0.710936,-0.701341
